index,schema_version,standard_version,auditor_version,generated_at,run_id,repo_id,repo_remote,branch,commit,dirty_worktree,scope,changed_paths,score,raw_score,finding_count,hard_findings,soft_findings,decision,minimum_score,caps_applied,report_fingerprint,input_fingerprint,policy_fingerprint,repo_score_json_path,repo_score_md_path
1,1.1.0,0.8.0,0.8.0,1778034348,1778034348,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,61,220,210,10,advisory,85,"[""no-secret-or-dependency-scanning-in-ci"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""secret-like-content-detected"",""input-boundary-gap"",""release-readiness-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:6a1c80c310f3b6d56d8d8608dc5e186f43a18cf6c9ee35eebfe5043f2f3347eb,sha256:eb051ac2538ab4d208d3a27f371edbf7e61559072ccfb154abc4a2d6e1a2cd02,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
2,1.1.0,0.8.0,0.8.0,1778035989,1778035989,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,63,217,207,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:608a2c1942d0e2425235090281b8031973779b7c6085004430c04dfb2a58c105,sha256:990b3228bd345e3090c39e76708d1e5cefd0c5083bfcd643b1fafbd80f4f57be,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
3,1.1.0,0.8.0,0.8.0,1778036030,1778036030,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,62,217,207,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:1b5d2dec7bcc4198834669fca27d081d41cfe57140180c9d4bad6db91f20a147,sha256:ece3d0d0882dc9ff711c50cc00491de617fb7120d70e7652e3eb04f86faf91cb,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
4,1.1.0,0.8.0,0.8.0,1778036058,1778036058,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,63,215,205,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:8339de101f948215ce929ea1eb93ef31922acdc964712e71be430a2f82b293f2,sha256:5978d08b04dc6b6d2e7df21bddb50c653fb03754582eb65cd3d812fe1e3b836d,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
5,1.1.0,0.8.0,0.8.0,1778036130,1778036130,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,62,215,205,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:95df4ea730405f3e37e5fd65dbe06332bab2c758d94363b68e2d44bf95715bb7,sha256:4a9ea7a6f9f18976c1febaefac7a75536cb6737a418cc4721d60c7de7e0f5bc9,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
6,1.1.0,0.8.0,0.8.0,1778036196,1778036196,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,63,214,204,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:d25be2fe69f9b7e36d87bcbc64663f02f6a21b229e784ba6a42c29d2a906103e,sha256:e8a98b68de251d510c194974b5173cc0722a47b429c95d320bfa46a57355c6a6,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
7,1.1.0,0.8.0,0.8.0,1778036256,1778036256,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,62,215,205,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:43621b9593651dcad0174f5eba4ca983e8c3902743bbb9216c44a7570ff2b145,sha256:87d989abee1942cf9775d82d57cb72901deae76bbbe8fb347c3344277198dfdf,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
8,1.1.0,0.8.0,0.8.0,1778036445,1778036445,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,63,214,204,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:87f157e8b7451bed694d25f860c501d054f50d1e3be7d2de3ff553082cf6345e,sha256:d273a13533612db0b37527874a26da30d486fa2c664917a37e78db307fee0d8c,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
9,1.1.0,0.8.0,0.8.0,1778036484,1778036484,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,62,215,205,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:965b81729d73e442072d43c5b24e4524dcf413dbcbf64bab402b35fc1abf0aa0,sha256:4bd3a7fdbbf63f7a04e8b3afd770b69297780bd7482a51bde7d6d5956eee752b,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
10,1.1.0,0.8.0,0.8.0,1778037423,1778037423,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,64,138,128,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:bf109b1d379110d12faf206aab1dbf65bced5a2c1c77c61c2a41199ae7e9be4a,sha256:048ec514a30a5eeebf9c9b324ce03800ca1e3e68c47a4ad1d2853e1247bc172f,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
11,1.1.0,0.8.0,0.8.0,1778037491,1778037491,sha256:24a708129c6c42708224fd5f3e523d2cfa90e6d8f8d0fcb120a9743cf55aa5c2,https://github.com/jeppsontaylor/JeRyu,main,5a0ddad,true,full,[],60,63,76,66,10,advisory,85,"[""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""direct-db-access-from-wrong-layer"",""prompt-injection-risk"",""secret-like-content-detected"",""input-boundary-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""rust-bad-behavior""]",sha256:dab49a6faf187e735b5eaa4d6a09b760b449a6c1094cd726bfef4781c6525190,sha256:a1766d61fc5de2ccee0679a81c7305afc39ac92492463e7130ebb1122ed3e25e,sha256:396aa94b1d9d3e43a5531652f3c52172e9b5e57cc1b5de44febdc48207e3f918,agent/repo-score.json,agent/repo-score.md
